;word list generated with Sketch Engine https://www.sketchengine.co.uk/word-lists/;;
;language:;English;
;corpus:;English Web 2013;
;word;frequence;
1;the;1 086 322 084;1
2;and;570 238 088;0,524925431
3;to;567 125 659;0,522060324
4;of;520 616 100;0,47924654
5;a;450 818 768;0,414995492
6;in;347 194 633;0,319605611
7;is;248 380 169;0,228643211
8;that;224 519 835;0,206678883
9;for;208 388 402;0,191829297
10;I;182 655 261;0,168140981
11;you;182 453 085;0,167954871
12;it;178 836 372;0,164625551
13;with;156 119 520;0,143713842
14;on;144 467 343;0,132987578
15;as;131 550 003;0,121096685
16;are;127 182 849;0,117076557
17;be;121 334 041;0,111692511
18;this;118 313 376;0,108911876
19;was;101 276 933;0,093229195
20;have;98 995 039;0,091128626
21;or;91 357 988;0,084098436
22;at;88 985 877;0,081914819
23;not;87 283 369;0,080347597
24;your;86 771 653;0,079876543
25;from;84 815 518;0,078075848
26;we;81 286 792;0,074827524
27;by;80 592 007;0,074187949
28;will;75 287 940;0,069305357
29;can;73 380 242;0,06754925
30;but;73 083 776;0,067276342
31;they;72 519 671;0,066757062
32;an;70 739 017;0,065117904
33;he;67 251 894;0,061907877
34;all;61 495 030;0,056608469
35;has;56 078 674;0,051622511
36;if;55 913 287;0,051470266
37;their;55 489 229;0,051079905
38;one;53 923 171;0,04963829
39;do;53 876 351;0,049595191
40;more;52 863 332;0,048662669
41;n't;52 097 921;0,04795808
42;my;52 066 603;0,04792925
43;his;50 951 208;0,046902488
44;so;49 213 525;0,045302886
45;there;47 444 673;0,043674591
46;about;46 693 627;0,042983225
47;which;45 739 634;0,042105039
48;when;44 528 548;0,040990189
49;what;43 721 332;0,040247117
50;out;41 303 918;0,038021797
51;up;40 865 639;0,037618345
52;our;40 747 450;0,037509548
53;who;39 513 873;0,036373994
54;also;39 076 493;0,035971369
55;had;37 580 331;0,034594096
56;time;37 416 837;0,034443594
57;some;36 631 344;0,033720519
58;would;36 278 124;0,033395366
59;were;34 456 212;0,031718228
60;like;34 146 192;0,031432843
61;been;34 043 476;0,03133829
62;just;33 799 176;0,031113402
63;her;33 758 030;0,031075526
64;new;33 361 392;0,030710406
65;other;32 942 994;0,030325255
66;them;32 105 569;0,029554374
67;she;30 841 495;0,028390747
68;people;30 421 073;0,028003732
69;these;30 346 365;0,027934961
70;no;29 934 430;0,027555759
71;get;29 850 777;0,027478754
72;how;29 615 038;0,027261747
73;me;28 754 532;0,026469619
74;into;28 642 590;0,026366573
75;than;27 631 684;0,025435996
76;only;26 533 516;0,024425091
77;its;26 289 380;0,024200355
78;most;26 036 206;0,023967299
79;may;25 711 134;0,023668058
80;any;25 708 576;0,023665703
81;many;24 844 281;0,022870087
82;make;24 392 340;0,022454059
83;then;24 304 264;0,022372982
84;well;24 020 281;0,022111565
85;first;23 900 423;0,022001231
86;very;23 718 574;0,021833832
87;over;23 433 481;0,021571393
88;now;23 268 050;0,021419108
89;could;22 732 394;0,020926017
90;after;22 564 231;0,020771216
91;even;22 246 087;0,020478353
92;because;21 575 657;0,019861197
93;us;21 188 627;0,019504922
94;said;21 118 317;0,019440199
95;good;20 850 458;0,019193624
96;way;20 753 150;0,019104049
97;two;20 615 564;0,018977396
98;should;20 364 151;0,018745961
99;work;20 294 419;0,01868177
100;use;20 209 195;0,018603318
101;through;19 457 545;0,017911396
102;see;19 255 611;0,017725508
103;know;18 633 716;0,017153031
104;did;18 617 523;0,017138124
105;much;18 586 676;0,017109729
106;where;18 527 936;0,017055656
107;years;18 475 373;0,01700727
108;need;18 152 024;0,016709615
109;him;18 135 444;0,016694353
110;back;18 086 300;0,016649114
111;such;18 002 390;0,016571872
112;those;17 394 626;0,016012402
113;being;17 186 684;0,015820984
114;day;17 147 221;0,015784657
115;take;17 051 169;0,015696237
116;while;16 987 528;0,015637653
117;here;16 157 575;0,01487365
118;before;16 110 780;0,014830574
119;does;16 024 521;0,014751169
120;great;15 802 739;0,014547011
121;year;15 756 464;0,014504413
122;go;15 240 443;0,014029396
123;help;15 204 513;0,013996321
124;want;15 201 049;0,013993133
125;really;14 905 838;0,01372138
126;think;14 528 861;0,013374359
127;best;14 508 216;0,013355354
128;life;14 478 608;0,013328099
129;each;14 461 675;0,013312511
130;made;14 403 756;0,013259195
131;right;14 243 466;0,013111642
132;world;14 112 944;0,012991491
133;business;13 705 631;0,012616545
134;home;13 687 649;0,012599991
135;own;13 596 911;0,012516464
136;down;13 544 228;0,012467967
137;still;13 472 686;0,01240211
138;used;13 392 282;0,012328095
139;find;13 384 274;0,012320723
140;around;13 218 230;0,012167874
141;going;12 925 606;0,011898502
142;every;12 882 762;0,011859063
143;both;12 687 801;0,011679594
144;last;12 596 956;0,011595968
145;off;12 568 448;0,011569725
146;too;12 470 769;0,011479808
147;same;12 419 285;0,011432415
148;information;12 031 414;0,011075365
149;little;11 695 673;0,010766303
150;another;11 540 840;0,010623774
151;look;11 432 731;0,010524255
152;few;11 401 511;0,010495516
153;long;11 264 930;0,010369788
154;part;11 168 135;0,010280685
155;since;11 143 932;0,010258405
156;things;11 137 850;0,010252806
157;place;11 129 389;0,010245018
158;am;10 905 198;0,010038642
159;between;10 820 784;0,009960935
160;during;10 808 095;0,009949255
161;different;10 797 013;0,009939053
162;must;10 690 628;0,009841122
163;come;10 664 434;0,009817009
164;using;10 487 785;0,009654397
165;however;10 477 701;0,009645115
166;without;10 375 679;0,0095512
167;high;10 272 381;0,00945611
168;why;10 239 970;0,009426274
169;something;10 238 690;0,009425096
170;online;10 191 169;0,009381351
171;system;10 112 358;0,009308803
172;better;10 080 112;0,009279119
173;three;10 069 875;0,009269696
174;never;10 040 300;0,009242471
175;always;10 021 039;0,00922474
176;love;9 978 269;0,009185369
177;say;9 940 058;0,009150194
178;might;9 758 074;0,008982671
179;next;9 327 423;0,008586241
180;company;9 314 939;0,008574749
181;state;9 213 709;0,008481563
182;number;9 200 697;0,008469585
183;again;9 157 338;0,008429671
184;free;9 139 571;0,008413316
185;lot;9 110 408;0,00838647
186;under;8 999 181;0,008284082
187;family;8 942 739;0,008232125
188;found;8 871 991;0,008166999
189;within;8 821 032;0,008120089
190;give;8 816 968;0,008116348
191;set;8 815 554;0,008115046
192;school;8 755 836;0,008060074
193;important;8 743 753;0,008048951
194;water;8 685 078;0,007994938
195;able;8 670 394;0,007981421
196;keep;8 648 208;0,007960998
197;got;8 642 205;0,007955472
198;sure;8 552 448;0,007872847
199;end;8 551 115;0,00787162
200;money;8 534 863;0,00785666
201;service;8 521 606;0,007844456
202;small;8 519 934;0,007842917
203;put;8 378 749;0,007712951
204;experience;8 364 514;0,007699847
205;having;8 280 863;0,007622843
206;once;8 236 139;0,007581673
207;available;8 220 464;0,007567244
208;health;8 159 671;0,007511282
209;support;8 131 832;0,007485655
210;often;8 108 755;0,007464411
211;including;8 082 359;0,007440113
212;days;7 951 767;0,007319898
213;away;7 854 419;0,007230286
214;old;7 820 868;0,007199401
215;area;7 800 194;0,00718037
216;feel;7 775 709;0,00715783
